# seed=1337 config_hash=5fa4d5543ecd68be54445db2d80192b6b9de48a99484383e55fdfe1bbe91521a
episode,epsilon,alpha,mean_reward,winrate_vs_baseline,fallback_rate,role
29000,0.908173,0.1374342,0.009600000000000001,0.045714285714285714,0.23780698720166032,thief
29999,0.9050063333333334,0.13700086666666667,0.0686,0.014218009478672985,0.11244794076816289,cop
30000,0.9050063333333334,0.13700086666666667,-0.013419999999999956,0.04678362573099415,0.19898438969343615,thief
30999,0.9018396666666667,0.13656753333333332,0.09567999999999993,0.0,0.16801325875284856,cop
31000,0.9018396666666667,0.13656753333333332,0.02100000000000004,0.059782608695652176,0.27283123672602516,thief
31999,0.898673,0.13613419999999998,0.08739999999999998,0.026737967914438502,0.13160719077005634,cop
32000,0.898673,0.13613419999999998,0.01480000000000005,0.06666666666666667,0.21855345911949686,thief
32999,0.8955063333333333,0.13570086666666667,0.11657999999999999,0.0106951871657754,0.16118172449330126,cop
33000,0.8955063333333333,0.13570086666666667,0.014600000000000007,0.03888888888888889,0.25194633095908564,thief
33999,0.8923396666666666,0.13526753333333333,0.1175199999999999,0.015625,0.13755054485641835,cop
34000,0.8923396666666666,0.13526753333333333,0.02306,0.05027932960893855,0.24044533067464274,thief
34999,0.889173,0.1348342,0.09084000000000003,0.020100502512562814,0.13125539974745795,cop
35000,0.889173,0.1348342,0.021260000000000046,0.052083333333333336,0.21808785529715763,thief
35999,0.8860063333333333,0.13440086666666667,0.11335999999999997,0.023391812865497075,0.13702052944354404,cop
36000,0.8860063333333333,0.13440086666666667,0.039720000000000026,0.065,0.21743341404358354,thief
36999,0.8828396666666667,0.13396753333333333,0.14543999999999982,0.0223463687150838,0.1353587319243604,cop
37000,0.8828396666666667,0.13396753333333333,0.024019999999999982,0.05027932960893855,0.22576248083148748,thief
37999,0.879673,0.1335342,0.12261999999999995,0.01932367149758454,0.1205848192935711,cop
38000,0.879673,0.1335342,0.03504000000000002,0.06857142857142857,0.212356515867657,thief
38999,0.8765063333333334,0.13310086666666665,0.10923999999999989,0.02702702702702703,0.12890067305731184,cop
39000,0.8765063333333334,0.13310086666666665,0.01915999999999999,0.05291005291005291,0.224823549664314,thief
39999,0.8733396666666666,0.13266753333333334,0.12047999999999996,0.016483516483516484,0.1180312091840242,cop
40000,0.8733396666666666,0.13266753333333334,0.01580000000000001,0.08064516129032258,0.18646457525555163,thief
40999,0.870173,0.1322342,0.11615999999999997,0.02702702702702703,0.13722418959411606,cop
41000,0.870173,0.1322342,0.041440000000000046,0.07368421052631578,0.2825951341235184,thief
41999,0.8670063333333333,0.13180086666666666,0.11228000000000006,0.017964071856287425,0.14436885865457294,cop
42000,0.8670063333333333,0.13180086666666666,0.03851999999999999,0.06486486486486487,0.27949301267468313,thief
42999,0.8638396666666667,0.13136753333333334,0.10598000000000005,0.010582010582010581,0.15221048381670144,cop
43000,0.8638396666666667,0.13136753333333334,0.019719999999999984,0.08823529411764706,0.2628357701462088,thief
43999,0.860673,0.1309342,0.11313999999999996,0.02857142857142857,0.1397544853635505,cop
44000,0.860673,0.1309342,0.03964000000000006,0.08187134502923976,0.24078706019676505,thief
44999,0.8575063333333334,0.13050086666666666,0.11985999999999988,0.015625,0.12240452038940704,cop
45000,0.8575063333333334,0.13050086666666666,0.029800000000000007,0.0481283422459893,0.2442652329749104,thief
45999,0.8543396666666667,0.13006753333333332,0.12215999999999998,0.03910614525139665,0.12901458604396357,cop
46000,0.8543396666666667,0.13006753333333332,0.021040000000000017,0.06770833333333333,0.21539807524059493,thief
46999,0.851173,0.1296342,0.11493999999999992,0.026737967914438502,0.13122787911788727,cop
47000,0.851173,0.1296342,0.02640000000000001,0.09230769230769231,0.22034782608695652,thief
47999,0.8480063333333333,0.12920086666666666,0.10363999999999987,0.03626943005181347,0.12576998578487783,cop
48000,0.8480063333333333,0.12920086666666666,0.02974000000000003,0.05714285714285714,0.22114581593452481,thief
48999,0.8448396666666667,0.12876753333333332,0.10889999999999991,0.03414634146341464,0.12599905970850964,cop
49000,0.8448396666666667,0.12876753333333332,0.011360000000000021,0.05945945945945946,0.21724622409553918,thief
49999,0.841673,0.1283342,0.11333999999999998,0.023121387283236993,0.12469733656174334,cop
